city,lat,lon,temp,cloud,wind speed,humidity,country
new norfolk,-42.7826,147.0587,4.74,21,0.85,83,AU
toccoa,34.5773,-83.3324,24.63,1,0.0,76,US
fairbanks,64.8378,-147.7164,13.41,75,3.09,82,US
souillac,-20.5167,57.5167,20.76,54,7.1,84,MU
muroto,33.2833,134.15,26.57,100,4.99,85,JP
alyangula,-13.8483,136.4192,25.66,99,4.64,56,AU
labuhan,-6.8844,112.2051,25.44,20,3.47,72,ID
bambous virieux,-20.3428,57.7575,20.68,65,7.01,83,MU
port elizabeth,-33.918,25.5701,7.16,0,2.06,93,ZA
airai,-8.9266,125.4092,19.48,98,1.05,68,TL
shitanjing,39.2342,106.3439,24.62,3,1.59,28,CN
yerbogachen,61.2767,108.0108,25.92,0,3.03,44,RU
shikhazany,55.5605,47.393,15.35,0,2.38,80,RU
pacific grove,36.6177,-121.9166,17.26,40,0.89,82,US
guarapari,-20.6667,-40.4975,18.11,25,3.51,81,BR
zyryanka,65.75,150.85,16.96,99,0.42,60,RU
portland,45.5234,-122.6762,31.54,12,0.89,41,US
torbay,47.6666,-52.7314,17.12,99,9.62,73,CA
moose factory,51.2585,-80.6094,7.8,0,4.48,57,CA
barrow,71.2906,-156.7887,8.01,1,5.66,76,US
puerto ayora,-0.7393,-90.3518,22.53,12,1.34,86,EC
baran,25.1,76.5167,31.99,72,5.18,47,IN
lashio,22.9333,97.75,20.75,100,0.71,99,MM
avera,33.194,-82.5271,27.2,68,2.04,67,US
rocky mountain house,52.3668,-114.9188,17.68,12,2.85,71,CA
buluang,13.3068,123.3425,29.95,12,0.56,67,PH
maumere,-8.6199,122.2111,27.31,64,2.65,69,ID
gamba,-2.65,10.0,22.72,100,2.48,89,GA
homer,59.6425,-151.5483,13.21,68,8.49,75,US
sabang,5.8933,95.3214,28.02,100,6.53,71,ID
inta,66.0317,60.1659,14.46,100,8.52,82,RU
kodiak,57.79,-152.4072,11.02,100,1.15,84,US
dingle,10.9995,122.6711,28.37,21,3.42,75,PH
constitucion,-35.3333,-72.4167,11.12,44,5.47,90,CL
hay river,60.8156,-115.7999,23.9,12,5.31,40,CA
cockburn town,21.4612,-71.1419,27.33,97,9.63,85,TC
waipawa,-41.4122,175.5153,12.66,100,5.84,67,NZ
atar,20.5169,-13.0499,30.41,0,3.47,34,MR
parainen,60.3067,22.301,18.47,6,3.24,93,FI
khash,28.2211,61.2158,23.44,0,0.63,54,IR
hobart,-42.8794,147.3294,4.96,20,0.89,80,AU
butembo,0.15,29.2833,13.86,100,1.12,95,CD
olavarria,-36.8927,-60.3225,11.19,100,1.81,91,AR
ratangarh,28.0833,74.6,33.34,0,5.51,37,IN
mandalgovi,45.7625,106.2708,23.01,71,1.23,34,MN
lorengau,-2.0226,147.2712,28.99,100,2.56,71,PG
halifax,44.6453,-63.5724,15.99,65,0.89,93,CA
roald,62.5833,6.1333,15.66,40,2.57,94,NO
omboue,-1.5746,9.2618,22.46,24,3.63,91,GA
la ciotat,43.1748,5.6045,21.02,0,1.33,74,FR
port-gentil,-0.7193,8.7815,24.26,43,6.18,84,GA
pedro carbo,-1.8333,-80.2333,24.0,7,2.44,80,EC
pevek,69.7008,170.3133,0.95,94,5.39,95,RU
hasaki,35.7333,140.8333,24.18,100,3.19,93,JP
senno,59.5336,33.9167,14.66,90,2.04,76,RU
hithadhoo,-0.6,73.0833,28.2,100,4.6,73,MV
clyde river,70.4692,-68.5914,6.13,90,4.63,75,CA
portobelo,9.55,-79.65,26.4,10,3.94,83,PA
naryan-mar,67.6713,53.087,11.7,24,2.62,78,RU
sao filipe,14.8961,-24.4956,23.25,8,2.18,83,CV
benidorm,38.5382,-0.131,25.32,2,7.07,79,ES
dustlik,40.5247,68.0358,27.97,0,2.3,29,UZ
zhezkazgan,47.8043,67.7144,24.05,99,4.87,58,KZ
qaanaaq,77.484,-69.3632,2.86,12,1.53,68,GL
klyuchevskiy,53.5317,119.4519,24.84,97,0.89,45,RU
coahuayana,18.7333,-103.6833,27.47,90,1.56,80,MX
buin,-33.7333,-70.75,5.22,0,1.17,80,CL
bethel,41.3712,-73.414,20.92,73,2.71,92,US
tarboro,35.8968,-77.5358,25.62,1,1.54,83,US
pemberton,50.3164,-122.8027,32.43,45,0.73,30,CA
thompson,55.7435,-97.8558,20.17,10,2.25,23,CA
namatanai,-3.6667,152.4333,29.48,77,2.76,67,PG
saint-francois,46.4154,3.9054,13.95,0,1.54,93,FR
umm lajj,25.0213,37.2685,28.87,5,5.02,58,SA
guane,22.2025,-84.0875,26.49,43,3.89,84,CU
le port,-20.9373,55.2919,19.81,9,3.31,84,RE
