city,lat,lon,temp,cloud,wind speed,humidity,country
gunupur,19.0833,83.8167,28.31,100,0.3,80,IN
chapayevka,47.4711,36.3451,18.74,100,4.29,96,UA
puerto escondido,15.85,-97.0667,28.46,75,3.6,65,MX
espanola,35.9911,-106.0806,21.21,56,4.0,47,US
svetlaya,46.5389,138.3297,14.29,100,3.06,95,RU
cervo,43.6702,-7.4101,15.54,37,4.39,81,ES
point fortin,10.1833,-61.6833,23.27,100,6.3,87,TT
inhambane,-23.865,35.3833,17.26,0,3.08,76,MZ
burns lake,54.2331,-125.7533,28.14,11,1.17,24,CA
raiganj,25.6167,88.1167,29.3,100,2.7,79,IN
nyurba,63.2842,118.3319,26.55,7,3.4,44,RU
morondava,-20.2833,44.2833,18.38,0,1.52,73,MG
ilhabela,-23.7781,-45.3581,18.03,55,1.9,84,BR
malakal,9.5334,31.6605,21.46,100,2.18,96,SS
kopargaon,19.8833,74.4833,25.59,92,5.99,74,IN
praia da vitoria,38.7333,-27.0667,20.98,100,4.38,90,PT
acapulco,16.8634,-99.8901,27.32,100,1.04,81,MX
huambo,-12.7761,15.7392,10.07,0,1.05,23,AO
ivdel,60.6911,60.4206,14.42,16,1.42,63,RU
acari,-15.4311,-74.6158,17.63,52,2.34,78,PE
oranjemund,-28.55,16.4333,11.05,9,2.19,87,NA
ternate,0.8,127.4,26.79,48,0.67,77,ID
ulladulla,-35.35,150.4667,13.82,12,1.05,53,AU
aki,33.5,133.9,29.01,100,1.77,68,JP
san cristobal,7.7669,-72.225,18.38,12,1.63,95,VE
ugoofaaru,5.6667,73.0,28.16,88,8.29,77,MV
hovd,48.0056,91.6419,24.11,1,1.19,36,MN
merrill,45.1805,-89.6835,18.01,90,2.57,97,US
lamas,-6.4167,-76.5333,18.63,14,1.34,74,PE
cabra,37.4725,-4.4421,22.03,82,0.45,68,ES
hobyo,5.3505,48.5268,24.51,51,10.56,85,SO
tura,25.5198,90.2201,24.62,100,2.68,96,IN
pitimbu,-7.4706,-34.8086,24.25,0,5.66,78,BR
almaty,43.25,76.95,21.95,40,2.0,49,KZ
half moon bay,37.4636,-122.4286,18.45,90,5.14,73,US
saskylakh,71.9167,114.0833,11.74,44,2.88,44,RU
son la,21.3167,103.9,23.52,27,0.41,91,VN
palmdale,34.5794,-118.1165,31.74,0,5.36,19,US
orange,33.7,-117.7675,25.97,1,0.45,62,US
jalu,29.0331,21.5482,27.48,0,7.04,53,LY
saint-pierre,-21.3393,55.4781,18.94,0,3.09,78,RE
rawlins,41.7911,-107.2387,26.42,1,4.12,19,US
lae,-6.7221,146.9847,29.66,100,1.57,63,PG
berberati,4.2612,15.7922,19.26,100,1.04,95,CF
marawi,7.9986,124.2928,24.8,100,1.45,79,PH
rancagua,-34.1708,-70.7444,5.2,0,1.83,86,CL
fort nelson,58.8053,-122.7002,28.78,40,2.3,33,CA
sakmara,51.9844,55.3338,18.01,7,5.03,58,RU
izumo,35.3667,132.7667,25.39,100,6.02,96,JP
booue,-0.0921,11.9385,21.34,26,0.6,94,GA
saint-denis,48.9167,2.3333,15.72,0,3.6,67,FR
goderich,43.7501,-81.7165,25.7,78,4.08,89,CA
vao,-22.6667,167.4833,20.47,100,8.54,87,NC
glenwood springs,39.5505,-107.3248,31.6,32,4.41,24,US
zaykovo,57.5613,62.7568,11.44,0,1.28,76,RU
barra patuca,15.8,-84.2833,27.07,54,5.7,76,HN
verkh-usugli,52.7,115.1667,22.67,100,1.17,53,RU
kargil,34.5667,76.1,12.43,4,2.06,54,IN
nemuro,43.3236,145.575,13.16,100,8.73,98,JP
kulachi,31.9286,70.4592,35.24,1,2.92,25,PK
bluefields,12.0137,-83.7635,26.1,86,3.75,90,NI
tres arroyos,-38.3739,-60.2798,11.75,100,5.18,70,AR
paratinga,-12.6906,-43.1842,22.48,0,2.58,44,BR
port blair,11.6667,92.75,28.57,100,5.53,78,IN
madison,34.7334,-86.5667,25.1,90,2.24,83,US
paamiut,61.994,-49.6678,4.1,100,7.76,96,GL
dawlatabad,36.4141,64.9053,31.19,0,2.41,17,AF
torquay,50.4638,-3.5143,14.63,99,0.45,61,GB
limon,10.0,-83.0333,26.65,12,0.79,79,CR
boca do acre,-8.7522,-67.3978,23.77,2,1.02,63,BR
johnson city,36.3134,-82.3535,24.79,1,0.0,72,US
pucara,-15.9803,-71.4606,4.28,0,1.0,39,PE
ahtopol,42.1,27.95,22.26,9,3.91,91,BG
san cosme y damian,-27.3167,-56.35,19.1,0,2.76,74,PY
saint-joseph,-21.3667,55.6167,18.33,13,5.18,77,RE
bolu,40.6667,31.5833,16.42,100,1.52,95,TR
ishigaki,24.3448,124.1572,29.13,9,7.36,82,JP
shar,49.5886,81.0453,26.81,3,3.4,48,KZ
dickinson,29.4608,-95.0513,26.5,100,3.55,81,US
bathsheba,13.2167,-59.5167,26.91,62,7.42,81,BB
mana,5.6592,-53.7767,24.93,12,2.51,87,GF
sainte-marie,-20.8968,55.5496,20.73,0,7.72,73,RE
sept-iles,50.2001,-66.3821,16.69,64,2.29,92,CA
bakreswar,23.8833,87.3667,29.47,99,3.65,70,IN
lolodorf,3.2333,10.7333,19.92,95,0.69,99,CM
birao,10.2849,22.7882,21.77,100,4.02,94,CF
gold coast,-28.0,153.4333,18.94,0,3.58,59,AU
nouakchott,18.0858,-15.9785,24.96,76,3.8,86,MR
bani,18.2833,-70.3333,25.02,11,3.75,84,DO
ushtobe,45.2514,77.9838,27.74,2,2.8,39,KZ
winnemucca,40.973,-117.7357,38.03,1,3.09,10,US
stonewall,50.1344,-97.3268,17.24,98,2.36,48,CA
wamba,8.9333,8.6,22.04,99,0.61,87,NG
yining,29.0361,114.5636,31.09,99,0.97,72,CN
doha,25.2867,51.5333,31.99,0,1.03,84,QA
inverurie,57.2845,-2.3774,12.13,40,0.89,94,GB
teya,60.3778,92.6267,13.57,100,1.98,86,RU
kidal,18.4411,1.4078,34.15,2,2.92,13,ML
champasak,14.75,106.0,22.71,100,0.74,99,LA
strezhevoy,60.7333,77.5889,11.99,15,3.91,63,RU
mtambile,-5.3833,39.7,24.66,0,9.24,75,TZ
axim,4.8699,-2.2405,24.52,56,3.18,89,GH
port moresby,-9.4431,147.1797,27.83,33,2.07,76,PG
moyamba,8.1667,-12.4333,22.64,100,0.88,98,SL
diego de almagro,-26.3667,-70.05,13.37,0,0.61,47,CL
mayumba,-3.432,10.6554,22.29,85,2.01,90,GA
suratgarh,29.3167,73.9,35.37,0,5.42,33,IN
clarksburg,39.2807,-80.3445,26.29,19,1.61,84,US
kirakira,-10.4544,161.9205,28.4,25,5.83,78,SB
ban nahin,18.2418,104.2122,25.11,100,0.74,94,LA
buchanan,5.8808,-10.0467,23.98,100,3.31,93,LR
sinegorye,62.0788,150.477,24.32,100,0.38,57,RU
ketchikan,55.3422,-131.6461,18.57,76,2.09,74,US
nuuk,64.1835,-51.7216,3.34,90,5.14,87,GL
ulenje,-8.9333,33.6833,7.96,36,2.23,92,TZ
lasa,46.6166,10.7002,18.35,18,1.68,96,IT
iguape,-24.7081,-47.5553,17.56,67,3.18,84,BR
quatre cocos,-20.2078,57.7625,20.05,57,7.04,83,MU
